"Component","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-54874","HIGH","openssl","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.29","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-69720","CRITICAL","libncurses6","6.3-2ubuntu0.1","6.3-2ubuntu0.2","A low vulnerability in deb package: libncurses6, version 6.3-2ubuntu0.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-69720","CRITICAL","libncursesw6","6.3-2ubuntu0.1","6.3-2ubuntu0.2","A low vulnerability in deb package: libncursesw6, version 6.3-2ubuntu0.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-69720","CRITICAL","libtinfo6","6.3-2ubuntu0.1","6.3-2ubuntu0.2","A low vulnerability in deb package: libtinfo6, version 6.3-2ubuntu0.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-69720","CRITICAL","ncurses-base","6.3-2ubuntu0.1","6.3-2ubuntu0.2","A low vulnerability in deb package: ncurses-base, version 6.3-2ubuntu0.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-69720","CRITICAL","ncurses-bin","6.3-2ubuntu0.1","6.3-2ubuntu0.2","A low vulnerability in deb package: ncurses-bin, version 6.3-2ubuntu0.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-12318","HIGH","libnss3","2:3.98-0ubuntu0.22.04.2","2:3.98-0ubuntu0.22.04.4","A medium vulnerability in deb package: libnss3, version 2:3.98-0ubuntu0.22.04.2 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-65018","HIGH","libpng16-16","1.6.37-3build5","1.6.37-3ubuntu0.1","A medium vulnerability in deb package: libpng16-16, version 1.6.37-3build5 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-8932","HIGH","curl","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.27","A low vulnerability in deb package: curl, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-8932","HIGH","libcurl4","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.27","A low vulnerability in deb package: libcurl4, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-5435","HIGH","libc-bin","2.35-0ubuntu3.7","2.35-0ubuntu3.14","A medium vulnerability in deb package: libc-bin, version 2.35-0ubuntu3.7 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-5435","HIGH","libc6","2.35-0ubuntu3.7","2.35-0ubuntu3.14","A medium vulnerability in deb package: libc6, version 2.35-0ubuntu3.7 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-5435","HIGH","locales","2.35-0ubuntu3.7","2.35-0ubuntu3.14","A medium vulnerability in deb package: locales, version 2.35-0ubuntu3.7 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2025-68973","HIGH","gpgv","2.2.27-3ubuntu2.1","2.2.27-3ubuntu2.5","A high vulnerability in deb package: gpgv, version 2.2.27-3ubuntu2.1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-58472","HIGH","wget","1.21.2-2ubuntu1","1.21.2-2ubuntu1.3","A medium vulnerability in deb package: wget, version 1.21.2-2ubuntu1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
